               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021799,           0.0079437,           0.0090058,               0.911,             0.74372,             0.86454,             0.67924,            0.019548,           0.0054582,            0.015265,            0.006535,            0.006535,            0.006535
                  37,            0.022143,           0.0074949,           0.0093872,             0.82992,             0.73043,             0.85685,             0.66795,            0.021218,           0.0054429,            0.024603,            0.006436,            0.006436,            0.006436
                  38,            0.022564,           0.0077033,           0.0093573,             0.85936,              0.7432,             0.84323,             0.69736,            0.019367,           0.0052129,            0.019551,            0.006337,            0.006337,            0.006337
                  39,            0.021187,           0.0080936,           0.0096341,             0.82101,             0.74196,             0.93298,             0.70672,            0.016741,           0.0048449,            0.021969,            0.006238,            0.006238,            0.006238
                  40,            0.021266,           0.0076551,           0.0090334,             0.86074,             0.74812,             0.92686,             0.68341,            0.020924,           0.0052347,            0.018355,            0.006139,            0.006139,            0.006139
                  41,            0.020382,           0.0075182,           0.0076863,             0.85262,             0.74237,             0.93897,              0.6759,            0.019042,           0.0047784,            0.020204,             0.00604,             0.00604,             0.00604
                  42,             0.02126,           0.0077877,           0.0084405,             0.86541,             0.69676,             0.90459,             0.70555,            0.017555,            0.004145,            0.022521,            0.005941,            0.005941,            0.005941
                  43,            0.021757,           0.0075798,           0.0083666,             0.94215,             0.67235,              0.9181,             0.70028,            0.016898,           0.0044186,            0.019207,            0.005842,            0.005842,            0.005842
                  44,            0.020119,           0.0075137,           0.0066048,             0.89818,              0.7409,             0.93698,             0.72168,            0.016396,           0.0051862,            0.021616,            0.005743,            0.005743,            0.005743
                  45,            0.019996,           0.0073818,           0.0086526,             0.90637,             0.77425,             0.95452,             0.75326,            0.016589,           0.0049805,            0.021689,            0.005644,            0.005644,            0.005644
                  46,            0.018967,            0.007293,           0.0079709,             0.98085,               0.782,             0.94847,             0.75361,            0.016067,           0.0050657,             0.02002,            0.005545,            0.005545,            0.005545
                  47,             0.01982,           0.0075919,           0.0086743,             0.92014,             0.77924,             0.94694,             0.73733,            0.016116,           0.0051071,            0.016194,            0.005446,            0.005446,            0.005446
                  48,             0.01913,           0.0070698,           0.0084385,             0.90904,             0.71088,             0.85895,             0.54777,            0.025819,           0.0057591,             0.01744,            0.005347,            0.005347,            0.005347
                  49,            0.019592,           0.0075907,           0.0081524,             0.93818,             0.74472,             0.90687,              0.6853,            0.016874,           0.0049254,              0.0147,            0.005248,            0.005248,            0.005248
                  50,            0.019076,           0.0074649,           0.0076728,             0.88566,             0.74146,              0.8795,              0.6705,            0.020157,           0.0051397,            0.020149,            0.005149,            0.005149,            0.005149
                  51,            0.019404,           0.0069157,           0.0077735,             0.93434,             0.73891,             0.94204,             0.73015,            0.016607,           0.0050945,            0.017503,             0.00505,             0.00505,             0.00505
                  52,            0.018306,           0.0069065,           0.0066957,             0.95708,               0.743,             0.93918,             0.72928,            0.016758,           0.0050786,            0.015296,            0.004951,            0.004951,            0.004951
                  53,            0.018034,            0.007131,           0.0074015,             0.96415,             0.74515,             0.94432,             0.77295,            0.016223,           0.0051325,            0.013513,            0.004852,            0.004852,            0.004852
                  54,             0.01814,           0.0072652,           0.0068202,             0.92673,             0.73042,             0.94416,             0.76778,            0.013794,           0.0044123,            0.019848,            0.004753,            0.004753,            0.004753
                  55,            0.017684,           0.0069586,           0.0077896,             0.97407,             0.80246,             0.95501,             0.77595,            0.014301,            0.004586,            0.013606,            0.004654,            0.004654,            0.004654
                  56,            0.017414,           0.0069547,           0.0070217,             0.98881,             0.77581,             0.95004,             0.73691,            0.015788,           0.0045284,            0.023924,            0.004555,            0.004555,            0.004555
                  57,            0.017007,           0.0067773,           0.0063289,             0.97599,             0.75197,             0.95265,             0.73697,             0.01526,           0.0053468,            0.025998,            0.004456,            0.004456,            0.004456
                  58,            0.017096,           0.0072605,             0.00682,             0.97343,             0.76389,             0.95145,             0.75996,            0.015992,            0.005424,            0.016177,            0.004357,            0.004357,            0.004357
                  59,            0.016841,           0.0069392,           0.0064012,             0.96959,             0.82914,             0.95254,              0.7532,            0.015908,           0.0046271,            0.011411,            0.004258,            0.004258,            0.004258
                  60,            0.016735,           0.0067664,            0.006202,             0.98316,             0.78831,             0.95337,             0.78513,            0.013801,           0.0042194,            0.014467,            0.004159,            0.004159,            0.004159
                  61,            0.016725,           0.0069383,           0.0066657,             0.97078,               0.779,             0.95547,             0.77415,            0.014885,           0.0043107,            0.018001,             0.00406,             0.00406,             0.00406
                  62,            0.015918,           0.0069789,           0.0059641,             0.94236,             0.81417,             0.95713,             0.74325,            0.014731,            0.004246,            0.016418,            0.003961,            0.003961,            0.003961
                  63,            0.015954,           0.0065447,           0.0060818,             0.96905,             0.76731,             0.92904,             0.74719,            0.016661,           0.0045008,            0.018841,            0.003862,            0.003862,            0.003862
                  64,            0.016382,           0.0064154,           0.0064418,             0.89701,             0.76225,             0.92143,             0.72101,            0.016477,           0.0047239,            0.023868,            0.003763,            0.003763,            0.003763
                  65,            0.016452,           0.0063126,           0.0065659,             0.94743,             0.78509,             0.94674,             0.76653,            0.014899,           0.0046716,            0.024721,            0.003664,            0.003664,            0.003664
                  66,             0.01517,           0.0061132,           0.0059276,             0.97968,             0.78822,             0.95873,             0.78036,             0.01458,             0.00437,            0.021455,            0.003565,            0.003565,            0.003565
                  67,            0.015473,            0.006697,           0.0060989,              0.8873,             0.78534,             0.95126,             0.75282,            0.014245,           0.0043187,            0.021742,            0.003466,            0.003466,            0.003466
                  68,            0.015294,           0.0066243,           0.0052572,             0.90555,             0.78918,             0.95092,             0.76788,            0.014377,           0.0041791,             0.02373,            0.003367,            0.003367,            0.003367
                  69,            0.014981,           0.0064172,           0.0061694,             0.86295,             0.78797,              0.9543,             0.73507,            0.015357,           0.0042989,            0.025086,            0.003268,            0.003268,            0.003268
                  70,            0.015301,           0.0060499,           0.0052431,             0.88277,             0.74948,             0.91694,             0.68711,            0.019275,           0.0054861,            0.019515,            0.003169,            0.003169,            0.003169
                  71,            0.014802,           0.0059146,           0.0052863,             0.97952,             0.78219,             0.96198,             0.75217,            0.015752,           0.0047551,            0.017896,             0.00307,             0.00307,             0.00307
                  72,            0.014739,            0.006603,           0.0057545,             0.98875,             0.79345,             0.96012,             0.78606,            0.014272,           0.0046914,            0.020705,            0.002971,            0.002971,            0.002971
                  73,            0.014072,           0.0064615,           0.0048116,             0.98307,              0.7948,             0.96081,             0.79185,            0.014558,            0.004771,            0.020011,            0.002872,            0.002872,            0.002872
                  74,            0.013982,           0.0062727,           0.0055218,             0.95162,             0.79937,             0.96081,             0.79076,            0.014009,           0.0045032,             0.01622,            0.002773,            0.002773,            0.002773
                  75,            0.014082,           0.0060788,           0.0053001,             0.93587,             0.80148,             0.96238,             0.75928,            0.015309,           0.0047534,             0.01424,            0.002674,            0.002674,            0.002674
                  76,            0.014075,            0.006385,           0.0043919,             0.92257,             0.79748,             0.95163,             0.78496,            0.013986,            0.004673,            0.018163,            0.002575,            0.002575,            0.002575
                  77,            0.013398,           0.0061127,           0.0050248,             0.92663,             0.79692,             0.95067,             0.79198,            0.013862,           0.0047347,            0.020427,            0.002476,            0.002476,            0.002476
                  78,            0.013115,            0.005679,           0.0055499,             0.95316,              0.7977,             0.95933,             0.77417,            0.014791,           0.0050733,            0.019601,            0.002377,            0.002377,            0.002377
                  79,            0.013412,           0.0060833,           0.0061064,             0.95094,             0.79828,             0.95696,              0.7926,            0.014997,           0.0053148,            0.015395,            0.002278,            0.002278,            0.002278
                  80,            0.012918,           0.0062813,           0.0045836,             0.95684,              0.7977,             0.95647,              0.7992,             0.01341,           0.0051125,            0.017852,            0.002179,            0.002179,            0.002179
